epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1553.67,0.55429,1.29652,1.10131,0.71938,0.73596,0.77405,0.67001,0.50528,1.30916,1.11302,0.00333269,0.00333269,0.00333269
2,3082.33,0.55726,1.03424,1.09436,0.69106,0.74458,0.76397,0.64783,0.54364,1.79571,1.13811,0.00660003,0.00660003,0.00660003
3,4594.08,0.64816,1.12339,1.15196,0.68133,0.66377,0.71868,0.59632,0.59216,1.52074,1.17756,0.00980137,0.00980137,0.00980137
4,6100.79,0.69052,1.17035,1.17711,0.68053,0.70637,0.74931,0.62937,0.56796,1.4764,1.1388,0.009703,0.009703,0.009703
5,7611.25,0.64055,1.07957,1.14238,0.79147,0.71784,0.79674,0.68509,0.52208,1.40041,1.09827,0.009604,0.009604,0.009604
6,9120,0.59677,1.01796,1.11156,0.80724,0.75657,0.83683,0.75376,0.43145,1.20365,1.01589,0.009505,0.009505,0.009505
7,10627,0.56936,0.95906,1.09627,0.81068,0.78056,0.84896,0.76767,0.41672,1.09454,0.99196,0.009406,0.009406,0.009406
8,12139.3,0.55058,0.92095,1.0818,0.81092,0.80354,0.86853,0.78746,0.40269,1.1134,0.99046,0.009307,0.009307,0.009307
9,13650.8,0.52897,0.88554,1.06697,0.82551,0.80153,0.87131,0.79911,0.36471,1.1815,0.94571,0.009208,0.009208,0.009208
10,15164.3,0.52391,0.86151,1.06353,0.84052,0.81552,0.88848,0.81127,0.37095,1.00624,0.9501,0.009109,0.009109,0.009109
11,16679.3,0.50694,0.83389,1.05254,0.83812,0.82906,0.89515,0.82824,0.35265,1.09358,0.93046,0.00901,0.00901,0.00901
12,18185.9,0.49671,0.81114,1.0447,0.86316,0.82917,0.90533,0.83883,0.34904,0.8588,0.927,0.008911,0.008911,0.008911
13,19693,0.48754,0.78984,1.04125,0.85869,0.8381,0.91144,0.85116,0.33979,0.87106,0.92479,0.008812,0.008812,0.008812
14,21201.7,0.4819,0.78089,1.03712,0.84965,0.84613,0.90634,0.84481,0.33766,0.88812,0.91535,0.008713,0.008713,0.008713
15,22711.1,0.47701,0.76837,1.03432,0.86978,0.8381,0.91252,0.84717,0.33183,0.86419,0.91053,0.008614,0.008614,0.008614
16,24224,0.46887,0.74738,1.026,0.88417,0.8379,0.91632,0.85765,0.31681,0.88443,0.89655,0.008515,0.008515,0.008515
17,25735.2,0.45993,0.73317,1.0224,0.90452,0.85236,0.92918,0.87294,0.30513,0.8183,0.88675,0.008416,0.008416,0.008416
18,27245.5,0.4545,0.72463,1.01884,0.88952,0.86264,0.92668,0.87431,0.30312,0.74118,0.88291,0.008317,0.008317,0.008317
19,28757.2,0.45389,0.70593,1.01796,0.89938,0.84785,0.92677,0.87844,0.28677,0.7274,0.86595,0.008218,0.008218,0.008218
20,30276,0.44901,0.69111,1.01497,0.88396,0.87311,0.93037,0.88506,0.28777,0.77663,0.86945,0.008119,0.008119,0.008119
21,31796.9,0.44626,0.68543,1.01338,0.88683,0.87556,0.93441,0.88655,0.284,0.69269,0.86765,0.00802,0.00802,0.00802
22,33311.4,0.4402,0.67766,1.01046,0.89785,0.87374,0.9388,0.89547,0.28106,0.74631,0.85975,0.007921,0.007921,0.007921
23,34823.8,0.43691,0.66789,1.00481,0.88244,0.88261,0.93661,0.89356,0.27132,0.7466,0.85085,0.007822,0.007822,0.007822
24,36342.9,0.43329,0.66191,1.00526,0.89453,0.88589,0.93785,0.89163,0.27873,0.6974,0.8616,0.007723,0.007723,0.007723
25,37861.8,0.43013,0.64782,1.0002,0.90914,0.87119,0.93827,0.8948,0.26881,0.73059,0.85379,0.007624,0.007624,0.007624
26,39385.1,0.42815,0.64315,0.99877,0.90936,0.87659,0.93941,0.89678,0.26505,0.69263,0.84771,0.007525,0.007525,0.007525
27,40900.5,0.4227,0.6324,0.99926,0.9055,0.89272,0.94075,0.89865,0.26291,0.66632,0.84441,0.007426,0.007426,0.007426
28,42414.7,0.41633,0.62231,0.99393,0.89865,0.89312,0.94379,0.90435,0.25557,0.68455,0.83879,0.007327,0.007327,0.007327
29,43931.3,0.41757,0.62491,0.99395,0.91767,0.87984,0.94383,0.90607,0.25335,0.68318,0.83831,0.007228,0.007228,0.007228
30,45449.1,0.41404,0.61727,0.99197,0.89528,0.90234,0.94502,0.90782,0.2532,0.63809,0.83809,0.007129,0.007129,0.007129
31,46966.3,0.41193,0.60293,0.99013,0.91001,0.89162,0.94346,0.90514,0.25475,0.64335,0.83848,0.00703,0.00703,0.00703
32,48484,0.41012,0.59674,0.98829,0.90391,0.90181,0.94447,0.90366,0.25426,0.66596,0.83752,0.006931,0.006931,0.006931
33,50002.9,0.41012,0.59592,0.9885,0.90841,0.89671,0.94773,0.90983,0.25164,0.66917,0.83357,0.006832,0.006832,0.006832
34,51521.4,0.40595,0.58697,0.98666,0.9102,0.90185,0.94946,0.91166,0.25097,0.63555,0.83424,0.006733,0.006733,0.006733
35,53039.4,0.40683,0.58266,0.98582,0.91672,0.89527,0.95137,0.91357,0.24609,0.61677,0.82854,0.006634,0.006634,0.006634
36,54560,0.40317,0.57838,0.9831,0.91913,0.89967,0.95263,0.9165,0.24401,0.61473,0.82634,0.006535,0.006535,0.006535
37,56080.4,0.40015,0.57042,0.98245,0.91718,0.8997,0.95251,0.91638,0.24164,0.59821,0.82586,0.006436,0.006436,0.006436
38,57598.1,0.39302,0.56064,0.97855,0.92481,0.89124,0.9532,0.91769,0.23849,0.59305,0.82257,0.006337,0.006337,0.006337
39,59117,0.39638,0.55923,0.97952,0.91914,0.89322,0.9527,0.91674,0.23784,0.58476,0.82288,0.006238,0.006238,0.006238
40,60635.8,0.39196,0.54949,0.97751,0.91306,0.90138,0.95308,0.91674,0.23733,0.58913,0.82318,0.006139,0.006139,0.006139
41,62153.6,0.39153,0.54899,0.97672,0.91067,0.90679,0.95298,0.91726,0.23639,0.58379,0.8233,0.00604,0.00604,0.00604
